unixTimeFrame,totHtSum,relHtSum
1415518200000,51,37
1415517300000,54,48
1415516400000,43,39
1415515500000,41,38
1415514600000,21,16
1415513700000,3,0
1415512800000,5,2
1415511900000,13,8
1415511000000,19,12
1415510100000,23,17
1415509200000,27,21
1415508300000,26,20
1415507400000,16,16
1415506500000,24,16
1415505600000,20,11
1415504700000,21,12
1415503800000,24,15
1415502900000,31,23
1415502000000,36,32
1415501100000,36,33
1415500200000,31,28
1415499300000,29,23
1415498400000,45,28
1415497500000,50,32
1415496600000,55,37
1415495700000,65,46
1415494800000,59,51
1415493900000,49,46
1415493000000,60,53
1415492100000,64,58
1415491200000,89,79
1415490300000,116,99
1415489400000,152,122
1415488500000,193,155
1415487600000,238,171
1415486700000,283,214
1415485800000,295,235
1415484900000,302,233
1415484000000,301,239
1415483100000,263,191
1415482200000,268,199
1415481300000,270,208
1415480400000,292,247
1415479500000,401,317
1415478600000,473,363
1415477700000,519,399
1415476800000,552,403
1415475900000,464,339
1415475000000,140,102
